text,category
Ambulance nahi mil rahi hai. what should I do?,Healthcare Access
"Please help, Ayushman card se treatment nahi mila. complaint kaha karu?",Healthcare Access
Subsidy not received. complaint kaha karu?,Government Scheme
Bhai Doctor refused to treat patient.,Healthcare Access
"Please help, Domicile certificate reject ho gaya. complaint kaha karu?",Government Scheme
Sir I need court help but cannot pay lawyer fees. kaise solve hoga?,Legal Aid
I feel unsafe at home. kaise solve hoga?,Domestic Violence / Safety
"Please help, Hospital denied treatment. please guide",Healthcare Access
Sir Can poor people get free legal support? help me,Legal Aid
"Urgent, Who won the cricket match? complaint kaha karu?",Unknown
How to cook pasta?,Unknown
मेरे पति मुझे धमकी दे रहे हैं। please guide,Domestic Violence / Safety
Sir I cannot afford a lawyer. kaise solve hoga?,Legal Aid
Bhai Application number hai but no update. kaise solve hoga?,Public Grievance
Madam Overtime ka paisa nahi mila. please guide,Labour Dispute
Public service delivery problem. kaise solve hoga?,Public Grievance
Madam Builder has not given flat possession. what should I do?,Property Issue
Bhai Application number hai but no update. complaint kaha karu?,Public Grievance
"Urgent, Public service delivery problem. please guide",Public Grievance
Sir गली में कचरा पड़ा है। help me,Municipal Issue
Bhai Tenant ko ghar se nikal rahe hain. help me,Property Issue
"Urgent, Aadhaar update problem. what should I do?",Government Scheme
My service request is pending for long time. kaise solve hoga?,Public Grievance
Sir I need court help but cannot pay lawyer fees. kaise solve hoga?,Legal Aid
Sir CPGRAMS complaint kaise kare?,Public Grievance
"Urgent, Domicile certificate reject ho gaya. help me",Government Scheme
Play some music.,Unknown
Bhai Ayushman card se treatment nahi mila. kaise solve hoga?,Healthcare Access
Madam How can I get FIR copy? help me,Police Complaint
"Please help, Drainage problem in my street. please guide",Municipal Issue
Madam Officer is not taking action on complaint. help me,Public Grievance
"Urgent, Where can I get free legal aid?",Legal Aid
"Please help, मुझे अस्पताल में भर्ती नहीं कर रहे।",Healthcare Access
My in-laws are abusing me for dowry. complaint kaha karu?,Domestic Violence / Safety
"Urgent, Mera phone chori ho gaya hai. complaint kaha karu?",Police Complaint
Landlord not returning security deposit. please guide,Property Issue
Madam मुझे अस्पताल में भर्ती नहीं कर रहे। complaint kaha karu?,Healthcare Access
"Please help, Mujhe free lawyer chahiye.",Legal Aid
"Please help, I need advocate help but have no money. please guide",Legal Aid
"Urgent, Ambulance nahi mil rahi hai.",Healthcare Access
"Please help, Mosquito problem due to sewage. what should I do?",Municipal Issue
Sir Can poor people get free legal support? kaise solve hoga?,Legal Aid
Madam Government benefit has not been received. complaint kaha karu?,Government Scheme
Sir Patient ko emergency ward me nahi liya. kaise solve hoga?,Healthcare Access
Madam Water supply is dirty in my area. help me,Municipal Issue
Sir I need court help but cannot pay lawyer fees. what should I do?,Legal Aid
Sir Tenant ko ghar se nikal rahe hain. complaint kaha karu?,Property Issue
"Urgent, Property registry problem. what should I do?",Property Issue
"Please help, Domicile certificate reject ho gaya.",Government Scheme
Bhai मेरे पति मुझे धमकी दे रहे हैं। complaint kaha karu?,Domestic Violence / Safety
Scholarship nahi mili. help me,Government Scheme
"Please help, Doctor refused to treat patient.",Healthcare Access
Sir My bike was stolen yesterday.,Police Complaint
"Please help, I need advocate help but have no money. what should I do?",Legal Aid
Health card not accepted. what should I do?,Healthcare Access
Doctor refused to treat patient. kaise solve hoga?,Healthcare Access
Bhai Hospital denied treatment. complaint kaha karu?,Healthcare Access
Madam There is garbage near my house. kaise solve hoga?,Municipal Issue
"Please help, Builder has not given flat possession. complaint kaha karu?",Property Issue
What is the weather today? help me,Unknown
Madam Officer is not taking action on complaint. kaise solve hoga?,Public Grievance
Madam What is the weather today? help me,Unknown
Madam Illegal occupation of my land. help me,Property Issue
Madam DLSA se help kaise milegi? kaise solve hoga?,Legal Aid
Bhai Police station complaint kaise kare? what should I do?,Police Complaint
Bhai Factory owner is not giving wages. help me,Labour Dispute
Scholarship nahi mili. help me,Government Scheme
Sir What is the weather today?,Unknown
Fake product mila online order mein. what should I do?,Consumer Complaint
Where can I get free legal aid? kaise solve hoga?,Legal Aid
Sir Ambulance nahi mil rahi hai. kaise solve hoga?,Healthcare Access
"Urgent, I want to learn Python. please guide",Unknown
Sir मुझे मुफ्त कानूनी सहायता चाहिए। help me,Legal Aid
Sir सरकारी विभाग जवाब नहीं दे रहा। help me,Public Grievance
Madam Explain machine learning. complaint kaha karu?,Unknown
Madam I worked but did not receive payment. kaise solve hoga?,Labour Dispute
Fake product mila online order mein. kaise solve hoga?,Consumer Complaint
मेरे पति मुझे धमकी दे रहे हैं। help me,Domestic Violence / Safety
Warranty claim rejected without proper reason.,Consumer Complaint
My pension application is pending. what should I do?,Government Scheme
Madam My in-laws are abusing me for dowry. please guide,Domestic Violence / Safety
My pension application is pending.,Government Scheme
Bhai I feel unsafe at home. help me,Domestic Violence / Safety
Sir Ration card not approved. complaint kaha karu?,Government Scheme
Sir मेरा मोबाइल चोरी हो गया है। help me,Police Complaint
Madam Caste certificate pending for months. complaint kaha karu?,Government Scheme
CPGRAMS complaint kaise kare? help me,Public Grievance
Sir Land dispute with neighbour. kaise solve hoga?,Property Issue
Madam Hospital denied treatment. please guide,Healthcare Access
Madam There is violence in my house and I need help. kaise solve hoga?,Domestic Violence / Safety
Boss ne payment rok diya hai. complaint kaha karu?,Labour Dispute
"Please help, Clinic overcharged me for treatment. complaint kaha karu?",Healthcare Access
Madam Illegal occupation of my land. please guide,Property Issue
Madam Clinic overcharged me for treatment. what should I do?,Healthcare Access
"Please help, Ayushman card se treatment nahi mila. help me",Healthcare Access
Tell me a joke. complaint kaha karu?,Unknown
"Please help, Someone is stalking me daily. what should I do?",Domestic Violence / Safety
Madam My service request is pending for long time. help me,Public Grievance
Bhai I bought watch online and seller is not giving refund.,Consumer Complaint
"Urgent, Where can I get free legal aid? please guide",Legal Aid
Madam Streetlight is not working. what should I do?,Municipal Issue
I want to file a police complaint.,Police Complaint
Bhai I feel unsafe at home. help me,Domestic Violence / Safety
"Please help, My employer has not paid my salary for 90 days. what should I do?",Labour Dispute
Bhai Road has big potholes. please guide,Municipal Issue
"Urgent, Police station complaint kaise kare? kaise solve hoga?",Police Complaint
Bhai Service center is not repairing my watch. what should I do?,Consumer Complaint
Madam I want to file a police complaint. complaint kaha karu?,Police Complaint
Madam Patient ko emergency ward me nahi liya. please guide,Healthcare Access
"Please help, Boss ne payment rok diya hai. help me",Labour Dispute
Bhai Doctor refused to treat patient. please guide,Healthcare Access
Government hospital refused admission.,Healthcare Access
Madam सरकारी योजना का लाभ नहीं मिला। complaint kaha karu?,Government Scheme
Bhai PF amount company ne nahi diya. please guide,Labour Dispute
Bhai Public toilet is very dirty. complaint kaha karu?,Municipal Issue
Bhai Streetlight is not working. please guide,Municipal Issue
Madam मकान मालिक जबरदस्ती निकाल रहा है। help me,Property Issue
Bhai Overtime ka paisa nahi mila. kaise solve hoga?,Labour Dispute
"Urgent, Delivery not received but money got deducted. kaise solve hoga?",Consumer Complaint
I want to report cyber crime. complaint kaha karu?,Police Complaint
"Urgent, मकान मालिक जबरदस्ती निकाल रहा है। complaint kaha karu?",Property Issue
My bike was stolen yesterday. complaint kaha karu?,Police Complaint
Bhai Order cancel hua but refund nahi aaya. what should I do?,Consumer Complaint
"Urgent, Landlord not returning security deposit. help me",Property Issue
"Urgent, My landlord is forcing me to leave. please guide",Property Issue
"Urgent, My pension application is pending. please guide",Government Scheme
Bhai Government department is delaying my application. complaint kaha karu?,Public Grievance
Madam I need court help but cannot pay lawyer fees. complaint kaha karu?,Legal Aid
"Urgent, Suggest a good phone under 20000. help me",Unknown
Bhai Boss ne payment rok diya hai. please guide,Labour Dispute
Sir I bought laptop online and seller is not giving refund. please guide,Consumer Complaint
My employer has not paid my salary for six months.,Labour Dispute
Bhai मकान मालिक जबरदस्ती निकाल रहा है। help me,Property Issue
Sir Tenant ko ghar se nikal rahe hain. complaint kaha karu?,Property Issue
Fake product mila online order mein. what should I do?,Consumer Complaint
Madam Hospital denied treatment. complaint kaha karu?,Healthcare Access
Sir Public service delivery problem. complaint kaha karu?,Public Grievance
Madam Factory owner is not giving wages. what should I do?,Labour Dispute
Bhai Illegal occupation of my land.,Property Issue
Sir Suggest a good phone under 20000. complaint kaha karu?,Unknown
"Urgent, मेरे पति मुझे धमकी दे रहे हैं। kaise solve hoga?",Domestic Violence / Safety
Sir मेरा सामान खराब आया है और कंपनी बदल नहीं रही। what should I do?,Consumer Complaint
"Please help, My husband is threatening me and I am scared. please guide",Domestic Violence / Safety
Bhai मुझे three months से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
Sir Can poor people get free legal support? kaise solve hoga?,Legal Aid
Partner ne mujhe beat kiya hai. what should I do?,Domestic Violence / Safety
Sir My service request is pending for long time. kaise solve hoga?,Public Grievance
Madam Department complaint portal me grievance file karna hai. what should I do?,Public Grievance
"Please help, Suggest a good phone under 20000. what should I do?",Unknown
"Urgent, Partner ne mujhe beat kiya hai. kaise solve hoga?",Domestic Violence / Safety
Sir सरकारी विभाग जवाब नहीं दे रहा। please guide,Public Grievance
"Please help, Play some music. what should I do?",Unknown
Madam Overtime ka paisa nahi mila. complaint kaha karu?,Labour Dispute
"Urgent, Streetlight is not working. help me",Municipal Issue
मुझे two months से वेतन नहीं मिला है। complaint kaha karu?,Labour Dispute
"Urgent, How to cook pasta?",Unknown
Madam Department complaint portal me grievance file karna hai. help me,Public Grievance
"Urgent, Can poor people get free legal support? kaise solve hoga?",Legal Aid
Bhai Product defective hai aur replacement nahi mil raha. what should I do?,Consumer Complaint
Madam Write a poem about rain. kaise solve hoga?,Unknown
Service center is not repairing my shoes. kaise solve hoga?,Consumer Complaint
Patient ko emergency ward me nahi liya.,Healthcare Access
Sir Application number hai but no update. help me,Public Grievance
Madam Someone is blackmailing me online. kaise solve hoga?,Police Complaint
"Urgent, I cannot afford a lawyer. please guide",Legal Aid
I bought phone online and seller is not giving refund. what should I do?,Consumer Complaint
"Urgent, Public service delivery problem. what should I do?",Public Grievance
"Urgent, Delivery not received but money got deducted. help me",Consumer Complaint
Health card not accepted. kaise solve hoga?,Healthcare Access
"Urgent, Department complaint portal me grievance file karna hai. kaise solve hoga?",Public Grievance
Sir I want to learn Python. complaint kaha karu?,Unknown
"Please help, Partner ne mujhe beat kiya hai. what should I do?",Domestic Violence / Safety
"Urgent, Ambulance nahi mil rahi hai.",Healthcare Access
Sir सरकारी विभाग जवाब नहीं दे रहा।,Public Grievance
Madam मेरा मोबाइल चोरी हो गया है। kaise solve hoga?,Police Complaint
Sir Fake product mila online order mein. complaint kaha karu?,Consumer Complaint
Application number hai but no update. complaint kaha karu?,Public Grievance
"Please help, DLSA se help kaise milegi? what should I do?",Legal Aid
Madam I cannot afford a lawyer. please guide,Legal Aid
"Urgent, Streetlight is not working. complaint kaha karu?",Municipal Issue
Sir Ayushman card se treatment nahi mila. help me,Healthcare Access
Madam Medicine not available in government hospital. help me,Healthcare Access
"Urgent, I am afraid to go back home. what should I do?",Domestic Violence / Safety
Madam My bike was stolen yesterday. help me,Police Complaint
"Please help, Government office me complaint kaha kare? kaise solve hoga?",Public Grievance
Sir Water supply is dirty in my area. what should I do?,Municipal Issue
Madam सरकारी योजना का लाभ नहीं मिला। please guide,Government Scheme
Bhai Partner ne mujhe beat kiya hai. kaise solve hoga?,Domestic Violence / Safety
"Urgent, How to cook pasta? complaint kaha karu?",Unknown
"Please help, Tell me a joke. kaise solve hoga?",Unknown
"Please help, Public authority is not responding. what should I do?",Public Grievance
"Please help, I want to file a police complaint. what should I do?",Police Complaint
"Please help, Doctor refused to treat patient. help me",Healthcare Access
"Please help, Legal services authority contact kaise kare? help me",Legal Aid
"Please help, I want to learn Python.",Unknown
Sir My bike was stolen yesterday. what should I do?,Police Complaint
Bhai Domicile certificate reject ho gaya. what should I do?,Government Scheme
Madam Water supply is dirty in my area. please guide,Municipal Issue
I want to file a police complaint.,Police Complaint
Sir Someone is stalking me daily.,Domestic Violence / Safety
Sir गली में कचरा पड़ा है। complaint kaha karu?,Municipal Issue
I worked but did not receive payment. what should I do?,Labour Dispute
"Please help, My service request is pending for long time.",Public Grievance
Sir Mujhe free lawyer chahiye. help me,Legal Aid
Madam What is the weather today? please guide,Unknown
"Urgent, Where can I get free legal aid? please guide",Legal Aid
"Please help, I cannot afford a lawyer. help me",Legal Aid
Madam Seller sent wrong product and is ignoring me.,Consumer Complaint
Builder has not given flat possession. what should I do?,Property Issue
"Urgent, Caste certificate pending for months. complaint kaha karu?",Government Scheme
Shopkeeper is refusing to replace defective product. complaint kaha karu?,Consumer Complaint
Madam What is the capital of Japan? complaint kaha karu?,Unknown
Madam I am facing domestic violence at home. please guide,Domestic Violence / Safety
Property registry problem. help me,Property Issue
"Please help, Who won the cricket match?",Unknown
Madam Landlord not returning security deposit. help me,Property Issue
Sir Clinic overcharged me for treatment. please guide,Healthcare Access
Madam Officer is not taking action on complaint. complaint kaha karu?,Public Grievance
मेरा सामान खराब आया है और कंपनी बदल नहीं रही। please guide,Consumer Complaint
"Urgent, Police station complaint kaise kare?",Police Complaint
"Urgent, Employer is delaying my salary again. please guide",Labour Dispute
"Urgent, Seller sent wrong product and is ignoring me. what should I do?",Consumer Complaint
Bhai Fake product mila online order mein. complaint kaha karu?,Consumer Complaint
Can poor people get free legal support? complaint kaha karu?,Legal Aid
"Urgent, I need advocate help but have no money. kaise solve hoga?",Legal Aid
Bhai मुझे अस्पताल में भर्ती नहीं कर रहे। kaise solve hoga?,Healthcare Access
"Please help, I am facing domestic violence at home. kaise solve hoga?",Domestic Violence / Safety
I need court help but cannot pay lawyer fees. help me,Legal Aid
"Please help, Where can I get free legal aid? please guide",Legal Aid
Sir Someone threatened me and I want police help. kaise solve hoga?,Police Complaint
"Urgent, Someone is stalking me daily.",Domestic Violence / Safety
Boss ne payment rok diya hai. kaise solve hoga?,Labour Dispute
Bhai Write a poem about rain. kaise solve hoga?,Unknown
Bhai Patient ko emergency ward me nahi liya. complaint kaha karu?,Healthcare Access
Bhai Road has big potholes.,Municipal Issue
"Urgent, Builder has not given flat possession.",Property Issue
Bhai My service request is pending for long time. help me,Public Grievance
"Urgent, Product defective hai aur replacement nahi mil raha. what should I do?",Consumer Complaint
"Urgent, Ayushman card se treatment nahi mila.",Healthcare Access
Sir Landlord not returning security deposit. complaint kaha karu?,Property Issue
"Please help, Illegal occupation of my land.",Property Issue
Madam Shopkeeper is refusing to replace defective product. complaint kaha karu?,Consumer Complaint
Bhai मेरे पति मुझे धमकी दे रहे हैं। complaint kaha karu?,Domestic Violence / Safety
"Urgent, What is the weather today? complaint kaha karu?",Unknown
Madam I am afraid to go back home.,Domestic Violence / Safety
"Please help, Ration card not approved. complaint kaha karu?",Government Scheme
"Urgent, Lease dispute with house owner. kaise solve hoga?",Property Issue
Department complaint portal me grievance file karna hai. complaint kaha karu?,Public Grievance
Bhai Caste certificate pending for months. help me,Government Scheme
Sir Shopkeeper is refusing to replace defective product. help me,Consumer Complaint
Bhai There is garbage near my house. complaint kaha karu?,Municipal Issue
"Please help, Property registry problem. kaise solve hoga?",Property Issue
Bhai Lease dispute with house owner. help me,Property Issue
"Please help, Who won the cricket match? help me",Unknown
"Please help, How to cook pasta? complaint kaha karu?",Unknown
Bhai My in-laws are abusing me for dowry. what should I do?,Domestic Violence / Safety
"Please help, Service center is not repairing my washing machine. complaint kaha karu?",Consumer Complaint
Bhai Property registry problem. what should I do?,Property Issue
"Urgent, Aadhaar update problem. complaint kaha karu?",Government Scheme
Bhai I bought laptop online and seller is not giving refund.,Consumer Complaint
Madam Explain machine learning. kaise solve hoga?,Unknown
Madam Seller sent wrong product and is ignoring me. please guide,Consumer Complaint
Madam Subsidy not received.,Government Scheme
"Urgent, Property registry problem. kaise solve hoga?",Property Issue
"Urgent, मेरा मोबाइल चोरी हो गया है। kaise solve hoga?",Police Complaint
"Urgent, My bike was stolen yesterday. help me",Police Complaint
Madam There is violence in my house and I need help.,Domestic Violence / Safety
Madam Rent agreement issue.,Property Issue
Madam Ration card not approved. kaise solve hoga?,Government Scheme
"Urgent, मेरा सामान खराब आया है और कंपनी बदल नहीं रही। help me",Consumer Complaint
Madam मेरे पति मुझे धमकी दे रहे हैं। kaise solve hoga?,Domestic Violence / Safety
PF amount company ne nahi diya. kaise solve hoga?,Labour Dispute
Bhai मेरे पति मुझे धमकी दे रहे हैं। please guide,Domestic Violence / Safety
मकान मालिक जबरदस्ती निकाल रहा है। please guide,Property Issue
Tell me a joke. please guide,Unknown
"Please help, Overtime ka paisa nahi mila. kaise solve hoga?",Labour Dispute
"Urgent, Caste certificate pending for months.",Government Scheme
Bhai Rent agreement issue. help me,Property Issue
Sir I am facing domestic violence at home. help me,Domestic Violence / Safety
"Please help, गली में कचरा पड़ा है।",Municipal Issue
"Please help, There is violence in my house and I need help. please guide",Domestic Violence / Safety
My bike was stolen yesterday. what should I do?,Police Complaint
Madam Partner ne mujhe beat kiya hai. please guide,Domestic Violence / Safety
Someone is stalking me daily. what should I do?,Domestic Violence / Safety
I cannot afford a lawyer. please guide,Legal Aid
"Urgent, Domicile certificate reject ho gaya.",Government Scheme
"Urgent, Health card not accepted. complaint kaha karu?",Healthcare Access
"Please help, Play some music. help me",Unknown
"Urgent, Water supply is dirty in my area. please guide",Municipal Issue
"Please help, Water supply is dirty in my area.",Municipal Issue
Government department is delaying my application. kaise solve hoga?,Public Grievance
"Please help, Mera phone chori ho gaya hai.",Police Complaint
"Urgent, I worked but did not receive payment. help me",Labour Dispute
मुझे मुफ्त कानूनी सहायता चाहिए।,Legal Aid
"Urgent, मकान मालिक जबरदस्ती निकाल रहा है। kaise solve hoga?",Property Issue
Bhai Medicine not available in government hospital. kaise solve hoga?,Healthcare Access
I bought shoes online and seller is not giving refund.,Consumer Complaint
Public authority is not responding. complaint kaha karu?,Public Grievance
"Urgent, I am facing domestic violence at home. what should I do?",Domestic Violence / Safety
Bhai Suggest a good phone under 20000. complaint kaha karu?,Unknown
Sir Mosquito problem due to sewage. help me,Municipal Issue
My company fired me without paying dues. complaint kaha karu?,Labour Dispute
Bhai Tell me a joke. kaise solve hoga?,Unknown
Madam Medicine not available in government hospital. kaise solve hoga?,Healthcare Access
Madam Hospital denied treatment. please guide,Healthcare Access
Sir Subsidy not received. kaise solve hoga?,Government Scheme
Bhai Pati mujhe maar raha hai. kaise solve hoga?,Domestic Violence / Safety
Sir I need advocate help but have no money. help me,Legal Aid
Sir Land dispute with neighbour. please guide,Property Issue
"Urgent, सरकारी योजना का लाभ नहीं मिला। complaint kaha karu?",Government Scheme
"Urgent, Mosquito problem due to sewage. please guide",Municipal Issue
I worked but did not receive payment. help me,Labour Dispute
Bhai My service request is pending for long time. please guide,Public Grievance
My pension application is pending. complaint kaha karu?,Government Scheme
Sir Aadhaar update problem. complaint kaha karu?,Government Scheme
Bhai Municipal complaint kaha kare? complaint kaha karu?,Municipal Issue
"Please help, There is violence in my house and I need help. kaise solve hoga?",Domestic Violence / Safety
Bhai Government office me complaint kaha kare?,Public Grievance
Sir Caste certificate pending for months.,Government Scheme
"Please help, Domicile certificate reject ho gaya. help me",Government Scheme
Madam Product defective hai aur replacement nahi mil raha. please guide,Consumer Complaint
Madam How to cook pasta? please guide,Unknown
Explain machine learning. help me,Unknown
My bike was stolen yesterday. what should I do?,Police Complaint
Partner ne mujhe beat kiya hai. please guide,Domestic Violence / Safety
Bhai My company fired me without paying dues.,Labour Dispute
"Urgent, Factory owner is not giving wages. kaise solve hoga?",Labour Dispute
Mosquito problem due to sewage.,Municipal Issue
Municipal complaint kaha kare?,Municipal Issue
Play some music. what should I do?,Unknown
"Urgent, Employer is delaying my salary again. help me",Labour Dispute
Madam Medicine not available in government hospital. please guide,Healthcare Access
I feel unsafe at home. help me,Domestic Violence / Safety
Sir My company fired me without paying dues. please guide,Labour Dispute
Bhai Income certificate application delayed.,Government Scheme
Bhai Fraud hua hai police complaint karni hai. complaint kaha karu?,Police Complaint
"Urgent, I want to report cyber crime. please guide",Police Complaint
Sir My landlord is forcing me to leave.,Property Issue
"Urgent, Water supply is dirty in my area. complaint kaha karu?",Municipal Issue
Madam Hospital denied treatment. complaint kaha karu?,Healthcare Access
"Urgent, PF amount company ne nahi diya. please guide",Labour Dispute
"Urgent, Water supply is dirty in my area. what should I do?",Municipal Issue
Sir Seller sent wrong product and is ignoring me.,Consumer Complaint
My husband is threatening me and I am scared. kaise solve hoga?,Domestic Violence / Safety
Bhai My landlord is forcing me to leave. help me,Property Issue
Sir Pati mujhe maar raha hai. kaise solve hoga?,Domestic Violence / Safety
Madam Government benefit has not been received. what should I do?,Government Scheme
"Urgent, Tenant ko ghar se nikal rahe hain. help me",Property Issue
मकान मालिक जबरदस्ती निकाल रहा है। kaise solve hoga?,Property Issue
"Urgent, Scholarship nahi mili. what should I do?",Government Scheme
"Urgent, Landlord not returning security deposit. help me",Property Issue
"Please help, Mosquito problem due to sewage.",Municipal Issue
Madam Aadhaar update problem. complaint kaha karu?,Government Scheme
Sir Who won the cricket match? please guide,Unknown
Madam Scholarship nahi mili. please guide,Government Scheme
Application number hai but no update.,Public Grievance
"Urgent, Municipal complaint kaha kare? kaise solve hoga?",Municipal Issue
"Urgent, Government hospital refused admission. please guide",Healthcare Access
"Urgent, My landlord is forcing me to leave.",Property Issue
"Urgent, Public service delivery problem.",Public Grievance
"Please help, मुझे मुफ्त कानूनी सहायता चाहिए। help me",Legal Aid
Madam Employer is delaying my salary again.,Labour Dispute
"Urgent, Land dispute with neighbour.",Property Issue
Madam Officer is not taking action on complaint. please guide,Public Grievance
"Urgent, Officer is not taking action on complaint. help me",Public Grievance
Sir Seller sent wrong product and is ignoring me.,Consumer Complaint
"Urgent, Subsidy not received. complaint kaha karu?",Government Scheme
Madam मुझे मुफ्त कानूनी सहायता चाहिए। what should I do?,Legal Aid
DLSA se help kaise milegi? help me,Legal Aid
Madam मेरा मोबाइल चोरी हो गया है। help me,Police Complaint
Madam Service center is not repairing my headphones. kaise solve hoga?,Consumer Complaint
Madam Warranty claim rejected without proper reason. what should I do?,Consumer Complaint
Bhai I want to file a police complaint. kaise solve hoga?,Police Complaint
Service center is not repairing my laptop.,Consumer Complaint
"Urgent, Suggest a good phone under 20000. please guide",Unknown
मकान मालिक जबरदस्ती निकाल रहा है। please guide,Property Issue
"Please help, Suggest a good phone under 20000. help me",Unknown
Sir CPGRAMS complaint kaise kare? please guide,Public Grievance
Bhai My in-laws are abusing me for dowry. what should I do?,Domestic Violence / Safety
My in-laws are abusing me for dowry. kaise solve hoga?,Domestic Violence / Safety
"Please help, Government office me complaint kaha kare? help me",Public Grievance
Bhai I need advocate help but have no money. help me,Legal Aid
What is the capital of Japan? complaint kaha karu?,Unknown
"Urgent, Ayushman card se treatment nahi mila. complaint kaha karu?",Healthcare Access
Madam Order cancel hua but refund nahi aaya. complaint kaha karu?,Consumer Complaint
Madam Tenant ko ghar se nikal rahe hain. help me,Property Issue
Patient ko emergency ward me nahi liya. complaint kaha karu?,Healthcare Access
"Urgent, Employer is delaying my salary again. help me",Labour Dispute
"Please help, Mujhe free lawyer chahiye. complaint kaha karu?",Legal Aid
Government office me complaint kaha kare?,Public Grievance
"Please help, मेरे पति मुझे धमकी दे रहे हैं। complaint kaha karu?",Domestic Violence / Safety
"Please help, Can poor people get free legal support? complaint kaha karu?",Legal Aid
Bhai I am facing domestic violence at home. complaint kaha karu?,Domestic Violence / Safety
Madam Department complaint portal me grievance file karna hai.,Public Grievance
Bhai Someone threatened me and I want police help. complaint kaha karu?,Police Complaint
Sir There is garbage near my house. complaint kaha karu?,Municipal Issue
Sir I bought shoes online and seller is not giving refund. what should I do?,Consumer Complaint
Ayushman card se treatment nahi mila. complaint kaha karu?,Healthcare Access
Bhai Drainage problem in my street. complaint kaha karu?,Municipal Issue
Income certificate application delayed. complaint kaha karu?,Government Scheme
Sir Nala block hai complaint karni hai.,Municipal Issue
"Please help, Mera phone chori ho gaya hai. complaint kaha karu?",Police Complaint
Warranty claim rejected without proper reason. what should I do?,Consumer Complaint
Bhai Write a poem about rain. kaise solve hoga?,Unknown
"Urgent, Nala block hai complaint karni hai. what should I do?",Municipal Issue
Bhai Product defective hai aur replacement nahi mil raha. please guide,Consumer Complaint
"Urgent, Someone is stalking me daily.",Domestic Violence / Safety
"Urgent, Builder has not given flat possession. complaint kaha karu?",Property Issue
"Please help, Explain machine learning. complaint kaha karu?",Unknown
"Please help, Public toilet is very dirty. complaint kaha karu?",Municipal Issue
Madam Government benefit has not been received. complaint kaha karu?,Government Scheme
Madam I want to learn Python. kaise solve hoga?,Unknown
Madam Mujhe free lawyer chahiye. please guide,Legal Aid
Bhai Pati mujhe maar raha hai. complaint kaha karu?,Domestic Violence / Safety
Boss ne payment rok diya hai. please guide,Labour Dispute
